id,label,type,primaryCategory,allCategories,country,city,nodeDescription,startDate,endDate,latitude,longitude,SIC,url
88824H,Tiszamenti Vegyi Muvek,Company,Manufacturing,Manufacturing;Manufacturing;Manufacturing;,Hungary,,,1993-07-27,,47.1817585,19.5060937,2819,
04124K,Arkhangelskeftegaz,Company,Mining,Mining;,Russian Fed,,,,,64.6863136,97.7453061,1311,
67240W,TRINFICO Property Management,Company,"Finance, Insurance, And Real Estate","Finance, Insurance, And Real Estate;Finance, Insurance, And Real Estate;",Russian Fed,Moscow,,,,55.7516335,37.6187042,6211,
38659Z,Grandi Lavori Fincosit SPA,Company,Services,Services;,Italy,Rome,,,,41.8935085,12.4825526,8711,
12024W,Bulgarian River Shipping JS Co,Company,"Transportation, Communications, Electric, Gas, And Sanitary Services","Transportation, Communications, Electric, Gas, And Sanitary Services;",Bulgaria,Russe,,,,43.8480413,25.9542057,4412,
29187Q,EN+ Group Ltd,Company,"Transportation, Communications, Electric, Gas, And Sanitary Services","Transportation, Communications, Electric, Gas, And Sanitary Services;Finance, Insurance, And Real Estate;Finance, Insurance, And Real Estate;Transportation, Communications, Electric, Gas, And Sanitary Services;Manufacturing;",Russian Fed,Moscow,,,,55.7516335,37.6187042,4911,
98873F,Yuzhkazgeologia,Company,Mining,Mining;,Kazakhstan,,,1994-06-28,,47.2286086,65.2093197,1311,
89326Z,Trans-Nafta,Company,Mining,Mining;,Russian Fed,Moscow,,2000-10-03,,55.7516335,37.6187042,1311,
91237Q,TransAtlantic Turkey Ltd,Company,Mining,Mining;Mining;Mining;,Turkey,Ankara,,,,39.9220794,32.853758,1311,
07877A,Belleli SpA,Company,Services,Services;,Italy,Mantova(MN),,,,45.1566683,10.7917191,8711,
07877F,Belleli Energy Srl,Company,Manufacturing,Manufacturing;Manufacturing;,Italy,Mantova,,,,45.1566683,10.7917191,3443,
90013W,Turkiye Petrolleri AO,Company,Mining,Mining;Mining;Mining;,Turkey,Ankara,,1992-11-30,,39.9220794,32.853758,1311,
78137W,Rumeli Elektrik Yatirim AS,Company,"Transportation, Communications, Electric, Gas, And Sanitary Services","Transportation, Communications, Electric, Gas, And Sanitary Services;",Turkey,,,1993-02-28,,38.9597594,34.9249653,4911,
64010R,Neftechimmash Engineering,Company,Services,Services;,Russian Fed,,,,,64.6863136,97.7453061,8711,
76694A,Rimera,Company,Construction,Construction;Services;,Russian Fed,Moscow,,,,55.7516335,37.6187042,1623,
28505H,SC Electrica SA,Company,"Transportation, Communications, Electric, Gas, And Sanitary Services","Transportation, Communications, Electric, Gas, And Sanitary Services;",Romania,Bucharest,,,,44.4361414,26.1027443,4911,
45822B,GK Integra,Company,Mining,Services;Manufacturing;Mining;Mining;Mining;,Russian Fed,Moscow,,,,55.7516335,37.6187042,1381,
92229V,Varyeganneftegaz(Sidanko),Company,Mining,Mining;,Russian Fed,,,,,64.6863136,97.7453061,1311,
69827L,Panda Shipping Ltd,Company,"Transportation, Communications, Electric, Gas, And Sanitary Services","Transportation, Communications, Electric, Gas, And Sanitary Services;",Turkey,,,,,38.9597594,34.9249653,4412,
28617G,ETI,Company,"Transportation, Communications, Electric, Gas, And Sanitary Services","Transportation, Communications, Electric, Gas, And Sanitary Services;",Slovakia,Sokolov,,,,48.595408,21.5929957,4911,
69594L,PACC Electronic Engineering,Company,Services,Services;,Egypt,Cairo,,,,30.0488185,31.2436663,8711,
69636F,Palestinian Energy Authority,Company,"Transportation, Communications, Electric, Gas, And Sanitary Services","Transportation, Communications, Electric, Gas, And Sanitary Services;",Israel,,,,,30.8760272,35.0015196,4911,
1E5237,Sevastopol Marine Trade Port,Company,"Transportation, Communications, Electric, Gas, And Sanitary Services","Transportation, Communications, Electric, Gas, And Sanitary Services;",Russian Fed,Sevastopol.,,,,44.5547288,33.4720239,4412,
84849L,SPIGA NORD SpA,Company,Manufacturing,Manufacturing;Manufacturing;,Italy,Genoa,,,,44.40726,8.9338624,2819,
12650J,CTS Chemicals Industries Ltd,Company,Manufacturing,Manufacturing;,Israel,Kiryat Malachi,,,,31.7314672,34.74348,2819,
77619L,Rompetrol SA,Company,Mining,Mining;Mining;Mining;,Romania,Bucharest,,,,44.4361414,26.1027443,1311,
83494Z,SEABO SpA(Italy),Company,"Transportation, Communications, Electric, Gas, And Sanitary Services","Transportation, Communications, Electric, Gas, And Sanitary Services;Transportation, Communications, Electric, Gas, And Sanitary Services;Transportation, Communications, Electric, Gas, And Sanitary Services;Transportation, Communications, Electric, Gas, And Sanitary Services;Transportation, Communications, Electric, Gas, And Sanitary Services;Transportation, Communications, Electric, Gas, And Sanitary Services;Transportation, Communications, Electric, Gas, And Sanitary Services;Transportation, Communications, Electric, Gas, And Sanitary Services;",Italy,Bologna,,,,44.4936714,11.3430347,4939,
86882F,Surgutneftegaz,Company,Mining,Mining;Mining;Mining;,Russian Fed,Surgut,,1994-04-01,,61.2540328,73.3963985,1311,
91898R,VCC Holding,Company,"Transportation, Communications, Electric, Gas, And Sanitary Services","Transportation, Communications, Electric, Gas, And Sanitary Services;",Italy,,,,,42.6384261,12.674297,4911,
76676Q,Rina Industry Srl,Company,Services,Services;,Italy,Genova,,,,44.40726,8.9338624,8711,
36938W,Elject,Company,Services,Construction;Services;,Egypt,Cairo,,2007-12-03,,30.0488185,31.2436663,8711,
83714W,SEL SpA,Company,"Transportation, Communications, Electric, Gas, And Sanitary Services","Transportation, Communications, Electric, Gas, And Sanitary Services;Transportation, Communications, Electric, Gas, And Sanitary Services;Transportation, Communications, Electric, Gas, And Sanitary Services;Transportation, Communications, Electric, Gas, And Sanitary Services;",Italy,Bolzano,,,,46.4981125,11.3547801,4911,
92870E,Volkskreditbank,Company,"Finance, Insurance, And Real Estate","Finance, Insurance, And Real Estate;",Austria,,,,,47.2000338,13.199959,6211,
12383H,CIT Finance Investment Bank,Company,"Finance, Insurance, And Real Estate","Finance, Insurance, And Real Estate;Finance, Insurance, And Real Estate;",Russian Fed,Moscow,,,,55.7516335,37.6187042,6211,
24549F,Delmagyarorszagi Aramszolgalta,Company,"Transportation, Communications, Electric, Gas, And Sanitary Services","Transportation, Communications, Electric, Gas, And Sanitary Services;",Hungary,Szeged,,,,46.2546312,20.1486016,4911,
46532A,Italian Vento Power Corp,Company,"Transportation, Communications, Electric, Gas, And Sanitary Services","Transportation, Communications, Electric, Gas, And Sanitary Services;",Italy,,,,,42.6384261,12.674297,4911,
83874J,South Gas Co,Company,Mining,Mining;Mining;Mining;,Iraq,Basrah,,,,30.409916,47.778867,1311,
49850T,Laes-Rekonstruktsiya,Company,"Transportation, Communications, Electric, Gas, And Sanitary Services","Transportation, Communications, Electric, Gas, And Sanitary Services;",Russian Fed,St. Petersburg,,,,59.9393657,30.3153628,4911,
6A0550,Alte Enerji AS,Company,"Transportation, Communications, Electric, Gas, And Sanitary Services","Transportation, Communications, Electric, Gas, And Sanitary Services;",Turkey,Istanbul,,,,41.0096334,28.9651646,4911,
68228M,Onassis Group,Company,Mining,"Transportation, Communications, Electric, Gas, And Sanitary Services;Mining;Finance, Insurance, And Real Estate;",Greece,,,1999-02-12,,39.000041,21.9999569,1311,
79382M,Sakhalin Energy Investment Co,Company,"Transportation, Communications, Electric, Gas, And Sanitary Services","Transportation, Communications, Electric, Gas, And Sanitary Services;",Russian Fed,,,,,64.6863136,97.7453061,4911,
86388X,Studio Albertini,Company,"Finance, Insurance, And Real Estate","Finance, Insurance, And Real Estate;",Italy,Milan,,,,45.4667971,9.1904984,6211,
67236N,Holding MRSK,Company,"Transportation, Communications, Electric, Gas, And Sanitary Services","Transportation, Communications, Electric, Gas, And Sanitary Services;Finance, Insurance, And Real Estate;",Russian Fed,Moscow,,,,55.7516335,37.6187042,4911,
65821H,NIPIgazpererabotka,Company,Mining,Mining;,Russian Fed,Krasnodar,,,,45.0354329,38.9757116,1382,
01962K,Alke Construction Ind Trade In,Company,Services,Construction;Construction;Construction;Construction;Construction;Services;Services;,Turkey,Istanbul,,,,41.0096334,28.9651646,8711,
0C6092,Energean Oil & Gas SA,Company,Mining,Mining;Mining;Mining;,Greece,Athens,,,,37.9841493,23.7279843,1311,
20430Z,CIR SpA,Company,"Transportation, Communications, Electric, Gas, And Sanitary Services","Transportation, Communications, Electric, Gas, And Sanitary Services;Manufacturing;Manufacturing;Manufacturing;Manufacturing;Transportation, Communications, Electric, Gas, And Sanitary Services;Manufacturing;Services;Finance, Insurance, And Real Estate;Transportation, Communications, Electric, Gas, And Sanitary Services;Manufacturing;Finance, Insurance, And Real Estate;",Italy,Milan,,,,45.4667971,9.1904984,4911,
05490G,Azienda Energetica Municipale,Company,"Transportation, Communications, Electric, Gas, And Sanitary Services","Transportation, Communications, Electric, Gas, And Sanitary Services;",Italy,Milan,,,,45.4667971,9.1904984,4911,
82942K,Siofoki Gazipari Konzorcium,Company,"Transportation, Communications, Electric, Gas, And Sanitary Services","Transportation, Communications, Electric, Gas, And Sanitary Services;",Hungary,,,,,47.1817585,19.5060937,4931,
20081Y,Complexul Energetic Craiova SA,Company,"Transportation, Communications, Electric, Gas, And Sanitary Services","Transportation, Communications, Electric, Gas, And Sanitary Services;",Romania,"Craiova, Dolj",,,,44.3190159,23.7965614,4911,
2A6695,SANORS,Company,Manufacturing,Manufacturing;Manufacturing;Manufacturing;Manufacturing;,Russian Fed,Novokuybyshevsk,,,,53.0992438,49.9483631,2819,
16412A,Chepos Co,Company,Services,Services;,Czech Republic,,,,,49.8167003,15.4749544,8711,
98908N,ZanGas,Company,Mining,Mining;Mining;Mining;,Russian Fed,Moscow,,,,55.7516335,37.6187042,1311,
78666N,Sadid Industrial Group,Company,Services,"Services;Finance, Insurance, And Real Estate;Finance, Insurance, And Real Estate;",Iran,Tehran,,,,35.686172,51.4223519,8711,
50294L,Kuvvat,Company,"Transportation, Communications, Electric, Gas, And Sanitary Services","Transportation, Communications, Electric, Gas, And Sanitary Services;",Turkmenistan,,,,,39.3763807,59.3924609,4911,
77843T,Bank Rossiyskiy kredit,Company,"Finance, Insurance, And Real Estate","Finance, Insurance, And Real Estate;",Russian Fed,Moscow,,,,55.7516335,37.6187042,6211,
67057Q,Nuovo Pignone,Company,Manufacturing,Manufacturing;Manufacturing;,Italy,Firenze,,,,43.7698712,11.2555757,3824,
99286K,Al Meinaa Oil Services Ltd,Company,Mining,Mining;,Iraq,,,,,33.0955793,44.1749775,1382,
09224A,ChSZ,Company,Manufacturing,Manufacturing;Manufacturing;,Ukraine,Mikolaiv,,,,46.9713414,32.0042394,3731,
04687C,Athena SA,Company,Services,Construction;Construction;Construction;Construction;Construction;Services;,Greece,Marousi,,,,38.04557465,23.8052716342941,8711,
05437V,Azot(MDM Bank),Company,Manufacturing,Manufacturing;Manufacturing;,Russian Fed,Novomoskovsk,,,,54.0110136,38.2909423,2819,
48340V,Kaliningradmorneftegaz,Company,Mining,Mining;,Russian Fed,,,1995-04-25,,64.6863136,97.7453061,1311,
02031X,Almaz,Company,Manufacturing,Manufacturing;Manufacturing;,Russian Fed,St Petersburg,,,,59.9393657,30.3153628,3731,
02231R,Alusuisse Italia,Company,Manufacturing,Manufacturing;Manufacturing;Manufacturing;Manufacturing;Manufacturing;,Italy,20124 Milano,,,,45.4667971,9.1904984,2819,
28102E,Edison International SpA,Company,Mining,Mining;Mining;Mining;,Italy,,,,,42.6384261,12.674297,1311,
28264I,Ekoplast-CSFR(Czechoslovakia),Company,"Transportation, Communications, Electric, Gas, And Sanitary Services","Transportation, Communications, Electric, Gas, And Sanitary Services;",Czech Republic,,,,,49.8167003,15.4749544,4931,
28264X,Ekotrans Moravia(CZ),Company,Manufacturing,Manufacturing;,Czech Republic,,,1991-03-11,,49.8167003,15.4749544,3731,
786362,SAES Getters SpA,Company,Manufacturing,Wholesale Trade;Manufacturing;Manufacturing;Manufacturing;Manufacturing;,Italy,Milan,,,,45.4667971,9.1904984,3823,
83032X,Sintezkauchuk,Company,Mining,"Mining;Transportation, Communications, Electric, Gas, And Sanitary Services;Finance, Insurance, And Real Estate;",Russian Fed,,,,,64.6863136,97.7453061,1311,
59104F,Metall Co,Company,Manufacturing,Manufacturing;,Russian Fed,,,,,64.6863136,97.7453061,3533,
40834F,Magyar Villamos Muvek Zrt,Company,"Transportation, Communications, Electric, Gas, And Sanitary Services","Transportation, Communications, Electric, Gas, And Sanitary Services;",Hungary,Budapest,,,,47.4983815,19.0404707,4911,
02284Q,Amal Oilfield,Company,Mining,Mining;,Egypt,,,,,26.2540493,29.2675469,1311,
62941Z,NTT KORO,Company,Services,Services;,Ukraine,,,,,49.4871968,31.2718321,8711,
05931C,Banca IMI,Company,"Finance, Insurance, And Real Estate","Finance, Insurance, And Real Estate;Services;Finance, Insurance, And Real Estate;Finance, Insurance, And Real Estate;",Italy,Milan,,,,45.4667971,9.1904984,6211,
05931F,Banca Profilo SpA,Company,"Finance, Insurance, And Real Estate","Finance, Insurance, And Real Estate;Finance, Insurance, And Real Estate;",Italy,Milan,,,,45.4667971,9.1904984,6211,
43367T,Hlubna,Company,Manufacturing,Manufacturing;Manufacturing;,Czech Republic,Moravia,,,,49.2201995,16.5189757,2819,
68756J,Ortner Ges mbH,Company,Services,Construction;Services;Construction;Services;Construction;,Austria,Innsbruck,,,,47.2654296,11.3927685,8711,
48664M,RD KMG,Company,Mining,Mining;Mining;Mining;,Kazakhstan,Astana,,2013-03-04,,51.15092055,71.4388595154859,1311,
73878Y,Primorsky Oil & Gas,Company,Mining,Mining;Mining;Mining;,Russian Fed,,,,,64.6863136,97.7453061,1311,
46503Q,Israel Chemicals Ltd,Company,Manufacturing,Manufacturing;Manufacturing;Manufacturing;,Israel,Ramat Gan,,,,32.0724892,34.824244,2819,
00879P,ACSM SpA,Company,"Transportation, Communications, Electric, Gas, And Sanitary Services","Transportation, Communications, Electric, Gas, And Sanitary Services;Transportation, Communications, Electric, Gas, And Sanitary Services;Transportation, Communications, Electric, Gas, And Sanitary Services;Transportation, Communications, Electric, Gas, And Sanitary Services;Transportation, Communications, Electric, Gas, And Sanitary Services;Transportation, Communications, Electric, Gas, And Sanitary Services;",Italy,Como,,,,45.8106805,9.0863028,4911,
60849A,Moldovagaz(Moldova),Company,"Transportation, Communications, Electric, Gas, And Sanitary Services","Transportation, Communications, Electric, Gas, And Sanitary Services;",Moldova,,,1995-05-15,,47.286747,28.5110236,4922,
44709M,Inter RAO EES,Company,"Transportation, Communications, Electric, Gas, And Sanitary Services","Transportation, Communications, Electric, Gas, And Sanitary Services;",Russian Fed,Moscow,,,,55.7516335,37.6187042,4911,
29021R,Elsag-Finmeccanica,Company,"Transportation, Communications, Electric, Gas, And Sanitary Services","Transportation, Communications, Electric, Gas, And Sanitary Services;Transportation, Communications, Electric, Gas, And Sanitary Services;",Italy,,,1999-02-02,,42.6384261,12.674297,4931,
3A9628,Ukrtranshaz,Company,Mining,Mining;Mining;Mining;,Ukraine,Kyiv,,,,50.4501071,30.5240501,1311,
74492E,Private Wealth Mgmt SGR SpA,Company,"Finance, Insurance, And Real Estate","Finance, Insurance, And Real Estate;Finance, Insurance, And Real Estate;",Italy,Milan,,,,45.4667971,9.1904984,6211,
28624J,Eletson Holdings Inc,Company,Mining,Mining;,Greece,Piraeus,,,,37.9440078,23.6483599,1311,
Petronas_node,PETRONAS,Company,Mining,Mining;Mining;Mining;,Malaysia,Kuala Lumpur,,1991-06-07,,3.1387103,101.682099528432,1311,
46401H,Intermobiliare Securities SIM,Company,"Finance, Insurance, And Real Estate","Finance, Insurance, And Real Estate;",Italy,,,,,42.6384261,12.674297,6211,
04973E,Attica Enterprises SA,Company,"Transportation, Communications, Electric, Gas, And Sanitary Services","Transportation, Communications, Electric, Gas, And Sanitary Services;",Greece,Voula,,,,37.8482826,23.7718112582108,4412,
04973K,Attiki SA,Company,"Transportation, Communications, Electric, Gas, And Sanitary Services","Transportation, Communications, Electric, Gas, And Sanitary Services;",Greece,,,,,39.000041,21.9999569,4922,
76048W,Republic of Ingushetia,Company,Mining,Mining;,Russian Fed,,,,,64.6863136,97.7453061,1311,
44968F,IMI Capital Markets,Company,"Finance, Insurance, And Real Estate","Finance, Insurance, And Real Estate;",Italy,,,,,42.6384261,12.674297,6211,
90014T,Turkish Oil,Company,Mining,Mining;,Turkey,,,,,38.9597594,34.9249653,1311,
12561Z,CKD Hradec Kralove(CZ),Company,Services,Services;,Czech Republic,East Bohemian,,,,,,8711,
2C4352,Uzman Enerji Yatirimlari,Company,"Transportation, Communications, Electric, Gas, And Sanitary Services","Transportation, Communications, Electric, Gas, And Sanitary Services;",Turkey,,,,,38.9597594,34.9249653,4911,
29295Y,Energoinvest Sarajevo,Company,Services,Services;,Czech Republic,,,1997-04-04,,49.8167003,15.4749544,8711,
50057F,Kondpetroleum Oil Prd(Sidanko),Company,Mining,Mining;,Russian Fed,,,,,64.6863136,97.7453061,1311,
M75253,Orbotech Ltd,Company,Manufacturing,Wholesale Trade;Manufacturing;Manufacturing;Services;,Israel,Yavne,,,,31.8761804,34.7380919,3823,
04366V,ASEA Brown Boveri(Iraq),Company,Services,Services;Construction;,Iraq,,,,,33.0955793,44.1749775,8711,
73854J,Quest Energy SA,Company,"Transportation, Communications, Electric, Gas, And Sanitary Services","Transportation, Communications, Electric, Gas, And Sanitary Services;",Greece,,,,,39.000041,21.9999569,4911,
37638R,Giris Gomma,Company,Manufacturing,Manufacturing;,Italy,,,,,42.6384261,12.674297,2819,
22677J,Croatian Oil Company,Company,"Transportation, Communications, Electric, Gas, And Sanitary Services","Transportation, Communications, Electric, Gas, And Sanitary Services;",Croatia,,,1998-10-22,,45.5643442,17.0118954,4925,
75074F,Raiffeisen Investment AG,Company,"Finance, Insurance, And Real Estate","Finance, Insurance, And Real Estate;",Austria,Vienna,,2004-08-16,,48.2083537,16.3725042,6211,
98540A,ANK Bashneft,Company,Mining,Mining;Mining;Mining;,Russian Fed,Ufa,,2011-12-28,,54.7262869,55.9477285,1311,
83904J,Southern Oil Co,Company,Mining,Mining;Mining;Mining;,Iraq,Basrah,,,,30.409916,47.778867,1311,
59168H,Metran,Company,Manufacturing,Manufacturing;,Russian Fed,,,,,64.6863136,97.7453061,3824,
59608N,Middlebrook,Company,"Transportation, Communications, Electric, Gas, And Sanitary Services","Transportation, Communications, Electric, Gas, And Sanitary Services;",Greece,,,,,39.000041,21.9999569,4412,
78711Y,Saipem SpA,Company,Mining,Mining;Mining;Construction;Services;Mining;Mining;,Italy,San Donato Milanese,,2002-02-06,,45.41807,9.27165,1382,
91818L,Uzvneshneftegas,Company,Mining,Mining;,Uzbekistan,,,,,41.32373,63.9528098,1311,
G9108L,Tsakos Energy Navigation Ltd,Company,"Transportation, Communications, Electric, Gas, And Sanitary Services","Transportation, Communications, Electric, Gas, And Sanitary Services;",Greece,Athens,,2013-12-12,,37.9841493,23.7279843,4412,
GAZPMN,Gazprom,Company,Mining,"Manufacturing;Mining;Mining;Mining;Finance, Insurance, And Real Estate;",Russian Fed,Moscow,,1991-06-20,,55.7516335,37.6187042,1311,
9A7180,Pansoinco SRL,Company,Mining,Services;Mining;Mining;Mining;,Italy,Milan,,,,45.4667971,9.1904984,1311,
20008Y,Comau SpA(Comau Finanziaria),Company,Manufacturing,Manufacturing;,Italy,"Grugliasco, Torino",,,,45.068046,7.57762,3569,
03171K,Amoco Caspian Sea Petroleum Co,Company,Mining,Mining;,Azerbaijan,Baku,,1998-07-21,,40.3754289,49.8328549,1311,
78310V,Russian Engineering Institute,Company,Services,Services;,Russian Fed,,,,,64.6863136,97.7453061,8711,
42550X,Henkel Austria GmbH,Company,Manufacturing,Manufacturing;Manufacturing;Wholesale Trade;Manufacturing;Manufacturing;Manufacturing;Manufacturing;,Austria,"Wien, Wien",,,,48.2083537,16.3725042,2819,
57128N,Turcas Enerji Holding AS,Company,"Transportation, Communications, Electric, Gas, And Sanitary Services","Transportation, Communications, Electric, Gas, And Sanitary Services;",Turkey,"Besiktas, Istanbul",,,,41.0716178,29.0305381519225,4911,
75770M,Rollechin Impianti,Company,Manufacturing,Manufacturing;Manufacturing;,Italy,,,,,42.6384261,12.674297,2819,
01667N,All-Russian Scientific Inst,Company,Services,Services;,Russian Fed,,,,,64.6863136,97.7453061,8711,
63199Z,Naeem Holding Co for Invest,Company,"Finance, Insurance, And Real Estate","Finance, Insurance, And Real Estate;Finance, Insurance, And Real Estate;Finance, Insurance, And Real Estate;",Egypt,Giza,,,,30.0170059,31.2134513,6211,
98592R,Zahidukrgeologica,Company,Mining,Mining;,Ukraine,,,,,49.4871968,31.2718321,1311,
06772P,Barnaul Radiozavod,Company,"Transportation, Communications, Electric, Gas, And Sanitary Services","Transportation, Communications, Electric, Gas, And Sanitary Services;Transportation, Communications, Electric, Gas, And Sanitary Services;Transportation, Communications, Electric, Gas, And Sanitary Services;",Russian Fed,Barnaul,,,,53.3473762,83.7784101,4931,
91958Y,Uzbekistan State Hldg Oil,Company,Mining,Mining;Mining;Mining;Mining;,Uzbekistan,,,,,41.32373,63.9528098,1389,
71424W,Permneft,Company,Mining,Mining;,Russian Fed,,,1993-08-18,,64.6863136,97.7453061,1311,
31742P,Fincantieri SpA,Company,Manufacturing,"Manufacturing;Transportation, Communications, Electric, Gas, And Sanitary Services;Transportation, Communications, Electric, Gas, And Sanitary Services;",Italy,Trieste,,,,45.6500335,13.7706559,3731,
91818F,Uzneftegazdobycha,Company,Mining,Mining;,Uzbekistan,,,,,41.32373,63.9528098,1311,
88995Y,Toros Tarim Sanayi ve Ticaret,Company,Manufacturing,Manufacturing;Manufacturing;Wholesale Trade;Manufacturing;,Turkey,Istanbul,,,,41.0096334,28.9651646,2819,
45942F,International Egyptian Oil,Company,Mining,Mining;Mining;Mining;,Egypt,Cairo,,,,30.0488185,31.2436663,1311,
